동별,항목,단위,2019 년,2020 년,2021 년,2022 년,2023 년
신월2동,면수,면,8243.0,8431.0,8427.0,7271.0,8090.0
신월3동,면수,면,4165.0,4556.0,4554.0,3881.0,5494.0
신월4동,면수,면,6722.0,7194.0,7186.0,6355.0,7373.0
신월5동,면수,면,5817.0,5940.0,5945.0,5523.0,6259.0
신월6동,면수,면,2334.0,2159.0,2107.0,6096.0,6189.0
신월7동,면수,면,5909.0,6513.0,6439.0,4182.0,6294.0
신정1동,면수,면,6354.0,6551.0,6564.0,6045.0,6383.0
신정2동,면수,면,7000.0,9433.0,9420.0,6507.0,7576.0
신정3동,면수,면,17149.0,18061.0,17757.0,19107.0,21338.0
신정6동,면수,면,8023.0,6236.0,6225.0,9010.0,8047.0
신정7동,면수,면,7844.0,9367.0,9367.0,9316.0,8997.0
목5동,면수,면,13852.0,12180.0,12150.0,13789.0,14168.0
신정4동,면수,면,11585.0,12559.0,12790.0,12870.0,13167.0
염창동,면수,면,17553.0,17572.0,17563.0,20668.0,20164.0
